paper_id,title,source_path,source_bytes,source_sha256,source_format,text_path,text_bytes,text_sha256,visible_characters,extraction_tool,receipt_path,reading_credit_granted
P0082,Learning from Long-Tailed Noisy Data with Sample Selection and Balanced Loss,staging/broad_freeze_canonical_repaired_v4/sources/P0082.pdf,625319,1A2E018AD69D41F13551F2AE1AFE2D478C85DA159B66A08355E51C8D959D1327,PDF,staging/screened_text_canonical_repaired_v4/text/P0082.txt,83145,DB9556F8E738A31EDDB680E89F1CF78F130A6465725537D5B1E52745958F4354,47785,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0082.txt.receipt.json,False
P0325,Data-efficient flood depth prediction through domain-aware coreset selection and tabular foundation models,staging/broad_freeze_canonical_repaired_v4/sources/P0325.pdf,8243584,16A96B380FED4FE13F94A49F3ACC8A87B35815BD559704F2E548D147C7A8E05C,PDF,staging/screened_text_canonical_repaired_v4/text/P0325.txt,80936,C169E51E54319C273E2A44F909F23916FCEA8E4F086C8394D8C055C8AD56B25E,50402,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0325.txt.receipt.json,False
P0254,Adversarial Coreset Selection for Efficient Robust Training,staging/broad_freeze_canonical_repaired_v4/sources/P0254.pdf,1028154,966733F44997F9262AB853AD2DE7BA97B1858B1658119E9F2390104A9EB9B53F,PDF,staging/screened_text_canonical_repaired_v4/text/P0254.txt,159863,26A9F0B1EA188FA841F6F1636C9FDC65C3DFD894E00280EBBF897A37BC75FBA5,74785,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0254.txt.receipt.json,False
P0463,It was the training data pruning too!,staging/broad_freeze_canonical_repaired_v4/sources/P0463.pdf,64044,4596B775218E6D02F2B3EEC87FFAFD3CBC681D54DB7453BC1626708D82745031,PDF,staging/screened_text_canonical_repaired_v4/text/P0463.txt,16374,0D97BEA48585013CC5615FDA6B25B0F95969ADECAED9861EC18AB942EDE65236,9340,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0463.txt.receipt.json,False
P0228,Automatic Curriculum Learning With Over-repetition Penalty for Dialogue Policy Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0228.pdf,3555841,4B002853B370D021903155B20BC7B9FA5D7F34987B6C5C23395378933DAE8A3B,PDF,staging/screened_text_canonical_repaired_v4/text/P0228.txt,55153,1979EAA5E24DC07451F9AE38B2D765DB5F9B572477B62687DEC09E6FBC79E961,34677,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0228.txt.receipt.json,False
P0071,IDER: IDempotent Experience Replay for Reliable Continual Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0071.pdf,5399416,CC11E76E6AA412DF3E398612CF659CFBE880C1DC63D9028EC111EDB9A822DC95,PDF,staging/screened_text_canonical_repaired_v4/text/P0071.txt,80228,9D6B73527621A88B26F0EFA22181FF0FA3179A0971C4AAE23F53B708181BF89D,55283,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0071.txt.receipt.json,False
P0059,Efficient Adversarial Contrastive Learning via Robustness-Aware Coreset Selection,staging/broad_freeze_canonical_repaired_v4/sources/P0059.pdf,954412,C1710EC056EE6009EA9B8B9E01876096A47399C820374700A7665BFCC7693D9B,PDF,staging/screened_text_canonical_repaired_v4/text/P0059.txt,160827,149F859AE937BBB1B7B23ADF52E0E227D0708DF23AD14AAFBC9A92D5D2FD619D,79932,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0059.txt.receipt.json,False
P0011,Improved Hard Example Mining Approach for Single Shot Object Detectors,staging/broad_freeze_canonical_repaired_v4/sources/P0011.pdf,764975,80BC7A8742C2714052D4EA6AD9D86F72BCC3EE93E4ACF8CBAFBF6D7E3F6A8687,PDF,staging/screened_text_canonical_repaired_v4/text/P0011.txt,37860,613FBC3A27B8A9185C0B5B020CF6212222C73D0678DF6FAACE6819C95E1700B0,19147,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0011.txt.receipt.json,False
P0287,SSR: An Efficient and Robust Framework for Learning with Unknown Label Noise,staging/broad_freeze_canonical_repaired_v4/sources/P0287.pdf,8833197,367B71881B372D42B8F4BF8C5CFC84EF1B1EF2DF14E239627C562F2875F3F551,PDF,staging/screened_text_canonical_repaired_v4/text/P0287.txt,54444,DDB637C34EA88AB8E4E16FD3E30CB0E6203C042DDC8E2707CD040C716DA8B9B1,38708,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0287.txt.receipt.json,False
P0005,Active Self-Paced Learning for Cost-Effective and Progressive Face Identification,staging/broad_freeze_canonical_repaired_v4/sources/P0005.pdf,8380460,2C994C2FCB39F5E32D1530A23839212F47D4679291DAA47F27D4C48BAE99B741,PDF,staging/screened_text_canonical_repaired_v4/text/P0005.txt,134609,4FB2CE3BB99660F78D05468100EEE929CBE28295DD275BCDF121EE0F141CFB50,68262,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0005.txt.receipt.json,False
P0118,Generic and Trend-aware Curriculum Learning for Relation Extraction,staging/broad_freeze_canonical_repaired_v4/sources/P0118.pdf,2022632,9A7F32ACE6EA27C25B0A10BDE747F6D0E2A57B23FAF3A2C8A741E5C8680FCBF0,PDF,staging/screened_text_canonical_repaired_v4/text/P0118.txt,61897,21F6517604195A3E4F1D220D62618CC556A2B87EDDD389A7F99CEA59EBF235B9,40447,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0118.txt.receipt.json,False
P0380,Learning to Weight Parameters for Training Data Attribution,staging/broad_freeze_canonical_repaired_v4/sources/P0380.pdf,1924982,F3BAE7A11099C99CB0394F3CA42CC9E7D77B6C7DABA50CEA26FEE6C232D84AF4,PDF,staging/screened_text_canonical_repaired_v4/text/P0380.txt,187233,7E18093D18A33F46665BB247F45A2D33CB1C8DCF6B3E5D4FBC7E8668BC9F6710,108594,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_canonical_repaired_v4/text/P0380.txt.receipt.json,False
