batch_item_id,title,author,historical_filename,historical_bytes,historical_sha256,historical_pages,historical_text_extractable,historical_source_path,current_source_status,evidence_provenance_class,content_review_reused,independent_content_rereview_performed,item_reading_depth_status,batch_reported_deep_count,batch_reported_background_count,handoff_evidence
CN01,一种基于阶段自适应重采样的物理信息神经网络,闫冲,一种基于阶段自适应重采样的物理信息神经网络_闫冲.pdf,1707247,B7E299321830081BB9C49005DE1EDC1A7B177340BED50495DBECAD0C2E2F2F9F,13,true,C:/Users/28898/Desktop/文献/一种基于阶段自适应重采样的物理信息神经网络_闫冲.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
CN02,不平衡数据的进化优化与否定选择融合重采样研究,全力,不平衡数据的进化优化与否定选择融合重采样研究_全力.pdf,18480386,4FB1D98F715AAC3F8FFFBBBB57B72D5E79706ED6FB71F2E389455EA0118F8637,163,true,C:/Users/28898/Desktop/文献/不平衡数据的进化优化与否定选择融合重采样研究_全力.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
CN03,图像的视觉搜索建模和重采样方法研究,孙万捷,图像的视觉搜索建模和重采样方法研究_孙万捷.pdf,15180801,A90DE71B1E1F6AD3DB7C5B83480BC9767A4CECAF107EDF1D4F5806D3C5B92FC6,141,true,C:/Users/28898/Desktop/文献/图像的视觉搜索建模和重采样方法研究_孙万捷.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
CN04,基于不确定性估计与动态样本选择的噪声标签尘肺分期方法,冯伟毅,基于不确定性估计与动态样本选择的噪声标签尘肺分期方法_冯伟毅.pdf,1732709,49BAC4FC7BAC2E603B43C0D54C9A10294BC65B3A16990AB17C9C959944A70175,10,true,C:/Users/28898/Desktop/文献/基于不确定性估计与动态样本选择的噪声标签尘肺分期方法_冯伟毅.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
CN05,基于动态样本选择的概念漂移自适应预测方法,代劲,基于动态样本选择的概念漂移自适应预测方法_代劲.pdf,1982773,0B0E88ED03F6E614803264BC5EF99F0B9FA0A05DC6E42FF001E726EAC1D22672,12,true,C:/Users/28898/Desktop/文献/基于动态样本选择的概念漂移自适应预测方法_代劲.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
CN06,基于多尺度动态融合与对比学习的图像去雾方法研究,张东辰,基于多尺度动态融合与对比学习的图像去雾方法研究_张东辰.pdf,13183606,0F9390114DE266856F8DF14C1CFF994D085887C685A45718597979C979C1FA8D,68,true,C:/Users/28898/Desktop/文献/基于多尺度动态融合与对比学习的图像去雾方法研究_张东辰.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
CN07,基于样本加权的数据流集成分类方法研究与应用,朱诗能,基于样本加权的数据流集成分类方法研究与应用_朱诗能.pdf,4925697,E501C6DBCFC2810D9B53C69B1C5687E1734B3FB2803F308573D17FF4B0682C6A,98,true,C:/Users/28898/Desktop/文献/基于样本加权的数据流集成分类方法研究与应用_朱诗能.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
CN08,基于深度学习的不平衡数据分类算法研究,毛明前,基于深度学习的不平衡数据分类算法研究_毛明前.pdf,2939169,F692B012A38C260B97623021670B51CA6A4D569578AF8A9A56EF32102A8F26F6,69,true,C:/Users/28898/Desktop/文献/基于深度学习的不平衡数据分类算法研究_毛明前.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
CN09,基于重采样与深度学习的类不平衡表格数据研究,储亚星,基于重采样与深度学习的类不平衡表格数据研究_储亚星.pdf,15239054,666043C5AF09F3FE37CF01A3A34390BFA830B9011CDD2FF634A5F7054FA9EB00,75,true,C:/Users/28898/Desktop/文献/基于重采样与深度学习的类不平衡表格数据研究_储亚星.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
CN10,融合动态样本选择器的时序因果关系挖掘方法,王梓行,融合动态样本选择器的时序因果关系挖掘方法_王梓行.pdf,1458432,9874981A8A02D95CC5F2C96D64C688E660C3E7B51A54D80E1958A49C43AB38CC,6,true,C:/Users/28898/Desktop/文献/融合动态样本选择器的时序因果关系挖掘方法_王梓行.pdf,REPORT_ONLY_SOURCE_MISSING,USER_ACCEPTED_INHERITED_EVIDENCE,true,false,NOT_APPLICABLE_WITH_REASON:the surviving handoff preserves only the batch-level six-deep/eight-background split,6,8,THREAD_RAW_SNAPSHOT.jsonl.gz:event_23836;event_23846;event_23862;event_24735
