queue_id,decision,canonical_title,primary_url_checked,source_authority,checked_at,reading_scope,direct_rq_ids,relevance_class,problem_summary_zh,method_overview_zh,conclusion_summary_zh,critical_review_zh,stage1_transfer_zh,cannot_infer_zh,exclusion_reason,reviewer
"RG119326BE6F67CAED","ELIGIBLE_BROAD","Adaptive Orthogonal Projection for Batch and Online Continual Learning","https://doi.org/10.1609/aaai.v36i6.20634","PRIMARY_PUBLISHER","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ3;RQ6;RQ7","TRANSFER_COMPONENT","持续学习的新任务梯度会干扰旧知识，简单正交投影还存在推导和适应性问题。","AOP 自适应修正投影子空间，使参数更新避开旧任务输入张成的方向，并在 batch/online 场景评估。","作者报告在不保存旧训练数据时仍显著提高持续学习准确率。","它改变优化器更新而不是选择 replay 样本，任务子空间正交也不等于 FN95 目标正对齐。","Stage1 可把 normal replay 对 weak-defect 梯度冲突作为 A 的核心审计，并比较投影前后符号，但不在首轮改优化器。","不能由无 replay 的抗遗忘结果推断某样本值得回流，也不能直接采用任务级正交约束。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGEF071C3DA2137D03","ELIGIBLE_BROAD","QADYNAMICS: Training Dynamics-Driven Synthetic QA Diagnostic for Zero-Shot Commonsense Question Answering","https://aclanthology.org/2023.findings-emnlp.1023.pdf","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ2;RQ4;RQ5","DIRECT_INTERVENTION","知识库合成 QA 含无信息问题、语病与假负选项，终点置信度不足以区分这些质量问题。","QADYNAMICS 在问题级和选项级分析训练轨迹，删除可检测伪迹、无信息问题和错标/假负选项后重训。","作者报告仅用 33% 合成数据优于所有基线，并由专家评价确认质量提高。","合成 QA 的可解释错误类型比真实 CCTV 图像更明确；删除与 replay 的优化方向相反。","Stage1 可将逐样本轨迹用于 Q 分型，并对疑似不可学尾部做人工审查及排除消融。","不能把 33% 比例或 QA 动态阈值迁移到 Stage1，也不能由 pruning 结果证明正向 replay。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG4510B9FFC7EF2BD1","EXCLUDE","Understanding self-supervised Learning Dynamics without Contrastive Pairs","https://arxiv.org/pdf/2102.06810","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM","NOT_APPLICABLE_WITH_REASON:no direct research-question mapping","EXCLUDED","论文解释非对比自监督方法为何不发生表示塌缩，并研究 predictor、stop-gradient、EMA 和 weight decay。","NOT_APPLICABLE_WITH_REASON:the work models optimization and representation dynamics of an SSL architecture rather than per-sample utility","NOT_APPLICABLE_WITH_REASON:reported ablations concern collapse avoidance and predictor design, not sample selection or replay","NOT_APPLICABLE_WITH_REASON:learning dynamics here is a model-mechanism term rather than a sample trajectory diagnostic","NOT_APPLICABLE_WITH_REASON:no direct Q/R/A/D or constrained-replay component is evaluated","NOT_APPLICABLE_WITH_REASON:cannot infer which samples should be replayed or whether any selector beats random","Architecture-level SSL dynamics do not address training-sample value.","codex_primary_review"
"RGB6E5175FEF9960BD","ELIGIBLE_BROAD","On the Effectiveness of Curriculum Learning in Educational Text Scoring","https://ojs.aaai.org/index.php/AAAI/article/download/26707/26479","PRIMARY_PUBLISHER","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ2;RQ6","DIRECT_INTERVENTION","文本评分模型通常忽略训练顺序，而难度定义和 easy-to-hard 是否有效具有任务依赖性。","论文比较可读性、长度、语法错误、词汇等预定义难度与逐 epoch 评分正确性，并测试正课程和反课程。","作者报告课程最高改善约 4.5%，但收益主要出现在短且容易答案，语法错误难度整体较稳。","结果本身表明难度代理和样本区间高度依任务；并非 hardest 样本收益最大。","Stage1 应预注册中高难窗口、极端尾部和反课程对照，按预算分别判断，而不寻找统一 hardness 排名。","不能把文本难度代理或 4.5% 提升映射到图像回流，也不能推断跨 seed 稳定性。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG1273C213C86DBF45","EXCLUDE","Characterizing Learning Dynamics of Deep Neural Networks via Complex Networks","https://api.crossref.org/works/10.1109/ictai52525.2021.00056","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM","NOT_APPLICABLE_WITH_REASON:no direct research-question mapping","EXCLUDED","论文把神经网络参数表示为复杂网络，分析节点强度和层波动以区分高低准确率模型。","NOT_APPLICABLE_WITH_REASON:metrics describe neurons and layers rather than individual training samples or selected sets","NOT_APPLICABLE_WITH_REASON:results distinguish model populations but do not intervene on sample inclusion or replay","NOT_APPLICABLE_WITH_REASON:the unit of analysis is network structure, not sample learnability or utility","NOT_APPLICABLE_WITH_REASON:no direct Stage1 sample field or replay policy is transferred","NOT_APPLICABLE_WITH_REASON:cannot rank samples or test superiority to matched random replay","Network-level dynamics are outside the sample-value research question.","codex_primary_review"
"RG094904F05EA0056B","ELIGIBLE_BROAD","Imbalanced Sample Selection With Deep Reinforcement Learning for Fault Diagnosis","https://api.crossref.org/works/10.1109/tii.2021.3100284","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ3;RQ5","DIRECT_INTERVENTION","工业故障与正常样本极度不平衡，固定采样比例可能损害诊断性能。","DiagSelect 把训练样本选择写成多臂老虎机/MDP，用验证集反馈和 REINFORCE 学习选择策略。","作者在合成和工业过程数据上报告有效、稳定并可迁移。","强化学习选择器自由度高且可能过拟合验证集；来源目前只有 DOI 级方法证据，需核对 random 与 seed。","Stage1 可借鉴验证目标驱动的条件策略，但首轮应使用少自由度可证伪规则，避免 controller 搜索吞噬十机预算。","不能直接迁移 learned policy，也不能由故障 accuracy 推出 FN95 安全收益。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGF638ECA68B9BA405","ELIGIBLE_BROAD","Convergence Results For Q-Learning With Experience Replay","https://arxiv.org/pdf/2112.04213","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ5;RQ6","DIRECT_MECHANISM","经验回放广泛使用，但 replay 次数和频率何时真正改善收敛缺少严格说明。","论文在 tabular Q-learning 中推导含 replay 的收敛率，比较频率与每次回放迭代数，并构造严格受益的 MDP 类。","作者给出理论条件和支持实验，说明 replay 收益依赖频率、次数和环境结构。","表格强化学习与监督分类不同，但它清楚否定了只按 unique 样本数描述 replay 的做法。","Stage1 必须同时记录每轮 slots、累计曝光、unique count、repeat histogram 和 timing，不能只写 B3000。","不能把 Q-learning 收敛界直接应用于 YOLO，也不能推断哪张图应被回流。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG05C147937B4387FC","ELIGIBLE_BROAD","Active Learning for Online Nonlinear Neyman-Pearson Classification","https://api.crossref.org/works/10.1109/siu55565.2022.9864669","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ5;RQ8","DIRECT_INTERVENTION","NP 约束下需要在有限样本中学习，同时单纯 uncertainty 可能破坏目标误报率控制。","方法从 ensemble 中选择超过不确定阈值的样本，并额外保留与 uncertainty 无关的随机探索概率；与随机抽样比较。","作者在四个数据集上报告移动 TPR/NP score，并指出满足目标 false-alarm rate 必须保留探索。","在线主动学习与已标注 replay 不同，约束方向为 false alarm；摘要不足以确认每个预算和 seed 的严格公平。","这是 Stage1 epsilon-random exploration 的直接依据：任何动态 Q/R/A 选择都保留随机底座并报告重合率。","不能把固定 uncertainty 阈值照搬，也不能由四数据集结果保证 TN@FN95。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG61745A764A57C63A","ELIGIBLE_BROAD","Neyman-Pearson Classification under Both Null and Alternative Distributions Shift","https://arxiv.org/pdf/2511.06641","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ3;RQ8","TARGET_METRIC","当 normal 与 defect 两侧分布都漂移时，源数据可能帮助也可能造成负迁移，且两类错误必须同时控制。","论文推导自适应 NP transfer procedure，在源分布有信息时改善、无信息时回退以避免负迁移，并给出统计与计算保证。","作者声称能够同时适应两侧 shift 并避免不可靠源数据伤害。","这不是样本级 replay 实验，但与同一 selection 跨 seed 反转的条件价值非常接近；理论假设需深读。","Stage1 可将 fallback-to-random/NR 作为策略安全门，并分别监控 normal high-tail 与 defect low-tail。","不能由分布级适应保证某个静态样本分数，也不能跳过真实多 seed 干预。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG3CF5945C92AC9742","ELIGIBLE_BROAD","A Neural Network Approach for Online Nonlinear Neyman-Pearson Classification","https://arxiv.org/pdf/2006.08001","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ8","TARGET_METRIC","大规模在线二分类需要在用户指定错误率下最大化检测能力，同时保持非线性和计算效率。","方法以随机 Fourier 特征初始化单隐层网络，用拉格朗日 NP 目标做逐样本 SGD 更新。","作者在多个真实数据上报告更好的 NP 目标或相近性能下更低复杂度。","它优化分类器而不估计训练样本价值；false-positive 约束与 Stage1 的 FN 上限需换位解释。","Stage1 可借鉴约束式损失和在线阈值审计，但选样仍需独立 Q/R/A/D 与随机对照。","不能由在线 NP 分类表现得出任何 replay 排名或预算。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
