cycle_id,arm_id,ratio_id,policy_id,schedule_id,guard_rule,guard_percent,purpose,release_state,canonical_lock_file_sha256
CYCLE_1,C1_T_RHO_2P5_CONTINUOUS,RHO_2P5_PERCENT,CONTINUOUS,CYCLE_1__RHO_2P5_PERCENT__CONTINUOUS__NONE__G0PCT,NONE,0,High-pressure continuous reference.,ENGINEERING_GATE,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
CYCLE_1,C1_T_RHO_2P5_SAME_PEAK_TAPER,RHO_2P5_PERCENT,SAME_PEAK_TAPER,CYCLE_1__RHO_2P5_PERCENT__SAME_PEAK_TAPER__NONE__G0PCT,NONE,0,Tests late-exposure reduction with the same initial peak.,ENGINEERING_GATE,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
CYCLE_1,C1_NR_NO_REPLAY,NO_REPLAY,NO_REPLAY,CYCLE_1__NO_REPLAY__NO_REPLAY__NONE__G0PCT,NONE,0,Separates any replay effect from the canonical base learner.,ENGINEERING_GATE,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
CYCLE_2,C2_T_RHO_2P5_DOSE_MATCHED_TAPER,RHO_2P5_PERCENT,DOSE_MATCHED_TAPER,CYCLE_2__RHO_2P5_PERCENT__DOSE_MATCHED_TAPER__NONE__G0PCT,NONE,0,Separates timing from cumulative exposure at high pressure.,HELD,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
CYCLE_2,C2_T_RHO_0P5_CONTINUOUS,RHO_0P5_PERCENT,CONTINUOUS,CYCLE_2__RHO_0P5_PERCENT__CONTINUOUS__NONE__G0PCT,NONE,0,Ratio transfer under a fixed timing/dose definition.,HELD,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
CYCLE_2,C2_T_RHO_0P5_SAME_PEAK_TAPER,RHO_0P5_PERCENT,SAME_PEAK_TAPER,CYCLE_2__RHO_0P5_PERCENT__SAME_PEAK_TAPER__NONE__G0PCT,NONE,0,Ratio transfer under a fixed timing/dose definition.,HELD,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
CYCLE_2,C2_T_RHO_0P5_DOSE_MATCHED_TAPER,RHO_0P5_PERCENT,DOSE_MATCHED_TAPER,CYCLE_2__RHO_0P5_PERCENT__DOSE_MATCHED_TAPER__NONE__G0PCT,NONE,0,Ratio transfer under a fixed timing/dose definition.,HELD,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
CYCLE_2,C2_T_RHO_1P0_CONTINUOUS,RHO_1P0_PERCENT,CONTINUOUS,CYCLE_2__RHO_1P0_PERCENT__CONTINUOUS__NONE__G0PCT,NONE,0,Ratio transfer under a fixed timing/dose definition.,HELD,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
CYCLE_2,C2_T_RHO_1P0_SAME_PEAK_TAPER,RHO_1P0_PERCENT,SAME_PEAK_TAPER,CYCLE_2__RHO_1P0_PERCENT__SAME_PEAK_TAPER__NONE__G0PCT,NONE,0,Ratio transfer under a fixed timing/dose definition.,HELD,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
CYCLE_2,C2_T_RHO_1P0_DOSE_MATCHED_TAPER,RHO_1P0_PERCENT,DOSE_MATCHED_TAPER,CYCLE_2__RHO_1P0_PERCENT__DOSE_MATCHED_TAPER__NONE__G0PCT,NONE,0,Ratio transfer under a fixed timing/dose definition.,HELD,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E
