reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,broad_source_sha256,broad_source_bytes,method_source_status,screened_credit
1,PRIMARY,P0058,RG96ED71161DE9A09A,CWC1C023FA7FF5838C75B6,Cross-Platform Chinese Offensive Comment Detection via Dual-Threshold Hard Example Mining,RQ4,RQ1;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0048F92EB6E56D6D85B69BCCDA22C2F54C70D3E1F929488D51B631BBEFEC7A02,sources/P0058.pdf,PDF,FE9760A4EA79D72DBF11C2427405E453B042F6AB5B8E7E116EDCF100C65281DC,1499290,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
2,PRIMARY,P0226,RG32D4D9393A420EF5,CW3DCFDABE87EF22C2B843,Curriculum Learning for Speech Emotion Recognition From Crowdsourced Labels,RQ2,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0158ADBBF562236082A61A5CF7301897F1212E03E2C17E56D8BD6D9DCBEB4D9D,sources/P0226.pdf,PDF,FCA02C46EE71B9C22A43331652B10D66606CE3E99F9B65BE26B89EFF09B66BE4,7211010,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
3,PRIMARY,P0211,RG8B75A3615EBE7E16,CW832E3A1E63B794450905,Generative Entity Typing with Curriculum Learning,RQ2,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0193891F29052E43E628B46F28E130BF77DC791041101B0501E4BC2906370B29,sources/P0211.pdf,PDF,AF71AA13F24ACABB711E4FCD905BA9EA7543804293CE2EC8ED3D6FBE2E096C3E,821166,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
4,PRIMARY,P0284,RG78D161AE59566E3E,CW4F0FC9FEC0B07A6A6520,Data Pruning via Moving-one-Sample-out,RQ3,RQ1;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,03832E2D5581C6E3399F5EAA514EFB5E02DDF481657A04BD1D344B108E3F9CB0,sources/P0284.pdf,PDF,5BBF6D9FE8A3525D6A8DCC9F7E3BF4EA04242B2DF2B555EBDAFEB9BF37726E55,576399,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
5,PRIMARY,P0092,RGF2049C51FE4BAC68,CW272E090E3D3C97B8B16B,Sample Selection with Uncertainty of Losses for Learning with Noisy Labels,RQ4,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,03AC3F8FB9F1A832C839A19089503994F4F3F4934D7725B818371D21683BF7BA,sources/P0092.pdf,PDF,668179BD4A809324E8FEC5375E1DB342ACC2E79FE9DE3B5DA546B464A2C7E77A,1276395,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
6,PRIMARY,P0345,RGFDF366471074E7BB,CW4C77EBF77047F31CF885,DeepCore: A Comprehensive Library for Coreset Selection in Deep Learning,RQ6,RQ1;RQ3;RQ5;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,COUNTEREVIDENCE_MINIMUM,04CDE6E7F83C6C4D08504C3260EAA5D4BDF4070C168B664A7EFB9C30903F7EA2,sources/P0345.pdf,PDF,F7955FFA0B04538EDFBCE92B4DAC4AC5154ACA3A4789D723FF7D2AB5B64ACA9E,544150,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
7,PRIMARY,P0188,RGA6A58A7170DD750D,CW3AC29261D879935C3D0C,Hindsight Experience Replay,RQ5,RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,0534FDC838AF7F351942CCE0DC842710FF940C71D4A3F3971357E5987854DA0A,sources/P0188.pdf,PDF,89DB330BB254D9C8818C61F2749CBE8F0535E8B487333409C5DC8CD8B3C89A04,2464277,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
8,PRIMARY,P0025,RGD44AED9103B27D1D,CW330E3393112D52B74D3C,Unsupervised Domain Adaptation Via Data Pruning,RQ4,RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,053625A144E66D6A2C8DD0260EB5BCAC6B384D2545DA808919A3C290BC8E4D43,sources/P0025.pdf,PDF,7462A5FD57EFD0B77BCE6AE14C420EF42EE393888C41FDEE6D9649E8BA69E201,706607,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
9,PRIMARY,P0408,RGA70148561B235895,CW5EEABFD8302956E44BAC,Dynamic Curriculum Learning for Great Ape Detection in the Wild,RQ8,RQ5,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,COUNTEREVIDENCE_MINIMUM,0570F6E8BBA79B7C55230C98F251A4D4B4991218A892D5CFBFABECF03DEB5E1D,sources/P0408.pdf,PDF,C5BB80F1BCF6FA29700A34DA1C92BF9A6786868D451F56D41C9A3FC11C0CF315,5936819,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
10,PRIMARY,P0091,RGDF8333E1DCDA9A1F,CW93B4FAD9149BE660C0D7,Rethinking Data Selection at Scale: Random Selection is Almost All You Need,RQ6,RQ1;RQ5;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,COUNTEREVIDENCE_MINIMUM,0650FCE2E2ADB1E62CEACA35CFC1948EF757CA714FF801F844FADCD698E6222A,sources/P0091.pdf,PDF,852A3674E15D19DA82F4B57BE22EC9FA0A7119F65C7D9272658E5196C4AE4989,443364,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
11,PRIMARY,P0373,RG254E81CD85A50D22,CW1ECA2D0D8F67549BD4E1,Deep Learning on a Data Diet: Finding Important Examples Early in\n Training,RQ2,RQ1;RQ4;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,066E5AC1C367A6A41E4277440C4AAD93764E6016ED1B04F7426E96E78B866E65,sources/P0373.pdf,PDF,842B7D259D98E6C900D87F730D08B689F347DF70D764BF72E4A503DACA213058,2241745,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
12,PRIMARY,P0488,RG3DABAD3E9CB489E4,CW3073B4D03E5D1D452B9F,Learning to Reweight Examples for Robust Deep Learning,RQ3,RQ1;RQ2;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0858A46E8C1572F76FA7A8F7310C6D4AFEFDEAE5B616999C038576B43238265F,sources/P0488.pdf,PDF,55976D603D1EF3620A1B0289F27A5F51ABFB60FA0A00F1A2F12364BC146CD88B,3044218,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
13,PRIMARY,P0427,RGEF071C3DA2137D03,CW8D53F1C18A0291F2B180,QADYNAMICS: Training Dynamics-Driven Synthetic QA Diagnostic for Zero-Shot Commonsense Question Answering,RQ2,RQ1;RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,085B3492F5E91E937DD529672BBDD4852BBE294923FCE065512363D4763DDF30,sources/P0427.pdf,PDF,7F77497EC65F82AF821387D608D430AED106D8C0A877FAD0B9E81804AF8E738B,1007832,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
14,PRIMARY,P0210,RGF41101573CDA3DD8,CWC934613AB901C38A9451,Impact of Data Pruning on Machine Learning Algorithm Performance,RQ6,RQ1;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,0AD9AB99C39C7A3CE1FABAA631B6145595ADF193E82E62899B8CD9D8B1B1E64A,sources/P0210.pdf,PDF,8814B5B1FE4CAA19351FE050D5347EA9BD41EAD19A0C03D52036B195844D2F57,674995,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
