finding_id,status,expert_review_ref,expert_source_refs,v3_source_refs,local_reproduction,observed_result,remaining_risk,required_action
"F01","CONFIRMED_ABSENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:25-31","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_worker.py:502-502;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_engineering_gate.py:46-69","stage1_dynamic_replay_v3/provenance.py:91-117","tests/stage1_dynamic_replay_v3/test_provenance.py:1-72","Current v3 compares live HEAD and source-tree hash and rejects importable untracked source before execution.","The check is not yet wired through a released formal worker.","Make provenance verification a mandatory pre-GPU worker step."
"F02","CONFIRMED_ABSENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:33-41","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_lease.py:264-278","stage1_dynamic_replay_v3/assignment.py:1-68","tests/stage1_dynamic_replay_v3/test_assignment_completion.py:12-36","v3 removes cross-machine wall-clock leases and uses centrally issued immutable assignment generations.","Operational supersession tooling is not yet complete.","Keep ownership generation-based and forbid reintroducing client-clock expiry."
"F03","CONFIRMED_ABSENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:43-51","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_lease.py:458-485;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_lease.py:488-540","stage1_dynamic_replay_v3/completion.py:67-85","tests/stage1_dynamic_replay_v3/test_assignment_completion.py:38-60","v3 publishes a durable canonical completion and rejects conflicting re-completion within the active generation.","A complete supersession ledger remains to be implemented.","Require explicit higher-generation supersession for any legal rerun."
"F04","CONFIRMED_ABSENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:53-61","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_aiops_reporting.py:18-19;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_aiops_reporting.py:200-213","stage1_dynamic_replay_v3/completion.py:88-102","tests/stage1_dynamic_replay_v3/test_assignment_completion.py:63-84","v3 closeout requires exactly one canonical COMPLETE for every expected job; FAILED does not satisfy completion.","Artifact and release identities still need final cycle-level aggregation.","Keep FAILED FENCED and SUPERSEDED as attempt history only."
"F05","CONFIRMED_ABSENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:63-73","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_checkpoint_predictions.py:182-215","stage1_dynamic_replay_v3/evaluation.py:182-235;stage1_dynamic_replay_v3/evaluation.py:263-287","tests/stage1_dynamic_replay_v3/test_evaluation.py:46-111;tests/stage1_dynamic_replay_v3/test_prediction_identity.py:1-52","v3 binds exact sample-label identity plus checkpoint and both manifest hashes and rejects wrong IDs.","Formal key-checkpoint inference has not yet been released end to end.","Re-hash endpoint manifests immediately before every key prediction."
"F06","CONFIRMED_ABSENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:77-81","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_worker.py:979-1022","stage1_dynamic_replay_v3/completion.py:77-83","tests/stage1_dynamic_replay_v3/test_assignment_completion.py:38-60","Idempotent replay writes a separate event and never overwrites a differing canonical completion.","The future worker must reference rather than rewrite the original result file.","Preserve canonical result immutability in the worker CLI."
"F07","PARTIALLY_MITIGATED","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:83-91","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_all_epoch_validation.py:75-114;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_all_epoch_validation.py:192-205","stage1_dynamic_replay_v3/epoch_transaction.py:20-33;stage1_dynamic_replay_v3/training_runtime.py:30-49","tests/stage1_dynamic_replay_v3/test_epoch_transaction.py:1-104;tests/stage1_dynamic_replay_v3/test_training_runtime.py:45-65","v3 records run attempt job batch sample and optimizer-step identity and enforces all 120000 base rows.","Epoch receipt manifests do not yet bind the full release selection schedule and source-tree identity chain.","Extend receipt identity before formal release and validate all roles and lineage."
"F08","NOT_APPLICABLE_CAPABILITY_ABSENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:93-99","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_dynamic_training.py:1181-1260;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_worker.py:947-954","stage1_dynamic_replay_v3/matrix.py:52-109","STATIC_CAPABILITY_AUDIT_20260809","Current v3 has no shared-prefix branch clone so it cannot orphan inherited checkpoint predictions in this way.","Future branch optimization could recreate the problem.","If branching is introduced publish a six-epoch logical-run artifact index with parent lineage and hashes."
"F09","CONFIRMED_PRESENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:101-114","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_aiops_reporting.py:110-150;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_aiops_reporting.py:200-213","stage1_dynamic_replay_v3/training_runtime.py:211-253;stage1_dynamic_replay_v3/completion.py:88-102","STATIC_SOURCE_AUDIT_20260809","v3 has per-run artifacts and closeout but no append-only fleet event materializer daily report or dependency-aware scheduler.","Ten-machine monitoring would require manual reconstruction and could misstate readiness.","Build canonical status events and evaluated stop scale and ready-block logic before fleet use."
"F10","CONFIRMED_ABSENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:116-124","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_resource_validation.py:199-218;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_resource_validation.py:290-291","stage1_dynamic_replay_v3/epoch_transaction.py:211-240;stage1_dynamic_replay_v3/resource_monitor.py:145-160","tests/stage1_dynamic_replay_v3/test_resource_monitor.py:1-155;tests/stage1_dynamic_replay_v3/test_epoch_transaction.py:1-104","v3 rejects nonpositive measured write wait and disk values and rejects empty or all-zero resource telemetry.","A real GPU canary is still required to prove measurements are populated correctly.","Bind measured counters to canary acceptance and retain post-OOM samples."
