reading_rank,selection_role,paper_id,queue_id,title,source_action,artifact_role,url,destination,source_authority,resolution_reason,broad_source_path,broad_source_format,primary_url,full_text_url,doi,screened_credit
3,PRIMARY,P0464,RGF42CC730BDD8DD9B,Partitioned Gradient Matching-based Data Subset Selection for Compute-Efficient Robust ASR Training,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0464.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0464.pdf,PDF,http://dx.doi.org/10.18653/v1/2022.findings-emnlp.443,https://aclanthology.org/2022.findings-emnlp.443.pdf,10.18653/v1/2022.findings-emnlp.443;10.48550/arxiv.2210.16892,NOT_ASSESSED_AT_BROAD_LEVEL
4,PRIMARY,P0130,RG7743F30ED832B3A4,Reducing annotation effort in agricultural data: simple and fast unsupervised coreset selection with DINOv2 and K-means,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0130.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0130.pdf,PDF,https://doi.org/10.3389/fpls.2025.1546756,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2025.1546756/pdf,10.3389/fpls.2025.1546756,NOT_ASSESSED_AT_BROAD_LEVEL
5,PRIMARY,P0358,RGEF071C3DA2137D03,QADYNAMICS: Training Dynamics-Driven Synthetic QA Diagnostic for Zero-Shot Commonsense Question Answering,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0358.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0358.pdf,PDF,http://dx.doi.org/10.18653/v1/2023.findings-emnlp.1023,https://aclanthology.org/2023.findings-emnlp.1023.pdf,10.18653/v1/2023.findings-emnlp.1023;10.48550/arxiv.2310.11303,NOT_ASSESSED_AT_BROAD_LEVEL
6,PRIMARY,P0330,RG4C05ABF685E44621,Coverage-centric Coreset Selection for High Pruning Rates,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0330.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0330.pdf,PDF,https://arxiv.org/abs/2210.15809,https://arxiv.org/pdf/2210.15809,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
7,PRIMARY,P0175,RG5F2B30F793B2BCFB,Towards High Supervised Learning Utility Training Data Generation: Data Pruning and Column Reordering,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0175.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0175.pdf,PDF,http://arxiv.org/abs/2507.10088,https://arxiv.org/pdf/2507.10088,10.48550/arxiv.2507.10088,NOT_ASSESSED_AT_BROAD_LEVEL
9,PRIMARY,P0360,RG97EB18B8A5831355,Self-Paced Curriculum Learning for Visual Question Answering on Remote Sensing Data,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0360.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0360.pdf,PDF,https://doi.org/10.1109/igarss47720.2021.9553624,NOT_REPORTED_BY_SOURCE,10.1109/igarss47720.2021.9553624,NOT_ASSESSED_AT_BROAD_LEVEL
10,PRIMARY,P0367,RG33781731D2127BDA,S-OHEM: Stratified Online Hard Example Mining for Object Detection,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0367.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0367.pdf,PDF,http://arxiv.org/abs/1705.02233,https://arxiv.org/pdf/1705.02233,10.48550/arxiv.1705.02233,NOT_ASSESSED_AT_BROAD_LEVEL
11,PRIMARY,P0252,AX5BBB2D6BD039C272,Active Learning Through a Covering Lens,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0252.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0252.pdf,PDF,https://proceedings.neurips.cc/paper_files/paper/2022/hash/8c64bc3f7796d31caa7c3e6b969bf7da-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/file/8c64bc3f7796d31caa7c3e6b969bf7da-Paper-Conference.pdf,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
12,PRIMARY,P0463,RGFC6945DFC35CF021,It was the training data pruning too!,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0463.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0463.pdf,PDF,http://arxiv.org/abs/1803.04579,https://arxiv.org/pdf/1803.04579,10.48550/arxiv.1803.04579,NOT_ASSESSED_AT_BROAD_LEVEL
13,PRIMARY,P0116,RGD8453AB27200DCF8,InfoBatch: Lossless Training Speed Up by Unbiased Dynamic Data Pruning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0116.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0116.pdf,PDF,http://arxiv.org/abs/2303.04947,https://arxiv.org/pdf/2303.04947,10.48550/arxiv.2303.04947,NOT_ASSESSED_AT_BROAD_LEVEL
