reading_rank,selection_role,paper_id,queue_id,title,source_action,artifact_role,url,destination,source_authority,resolution_reason,broad_source_path,broad_source_format,primary_url,full_text_url,doi,screened_credit
1,PRIMARY,P0342,RG8045FE4D3005F3AF,Self-paced Learning for Pedestrian Trajectory Prediction,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0342.html,HTML,https://doi.org/10.1109/icarm54641.2022.9959497,NOT_REPORTED_BY_SOURCE,10.1109/icarm54641.2022.9959497,NOT_ASSESSED_AT_BROAD_LEVEL
2,PRIMARY,P0392,RGF0703315B96EA08D,Cost-Sensitive Self-Paced Learning With Adaptive Regularization for Classification of Image Time Series,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,FULL_TEXT_FIELD_IS_LANDING_PAGE,sources/P0392.html,HTML,https://doi.org/10.1109/jstars.2021.3127754,https://doi.org/10.1109/jstars.2021.3127754,10.1109/jstars.2021.3127754,NOT_ASSESSED_AT_BROAD_LEVEL
8,PRIMARY,P0407,RG5E66990BE6C44DBF,Attentive Experience Replay,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,FULL_TEXT_FIELD_IS_LANDING_PAGE,sources/P0407.html,HTML,https://doi.org/10.1609/aaai.v34i04.6049,https://doi.org/10.1609/aaai.v34i04.6049,10.1609/aaai.v34i04.6049,NOT_ASSESSED_AT_BROAD_LEVEL
19,PRIMARY,P0488,RG68319A6592937539,Scalable Traffic Prediction via Data Reduction with Coreset Selection,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0488.html,HTML,https://doi.org/10.1109/itsc60802.2025.11423766,NOT_REPORTED_BY_SOURCE,10.1109/itsc60802.2025.11423766,NOT_ASSESSED_AT_BROAD_LEVEL
23,PRIMARY,P0247,RG53EB591B693FA2EF,Deep Self-Paced Learning for Semi-Supervised Person Re-Identification Using Multi-View Self-Paced Clustering,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0247.html,HTML,https://doi.org/10.1109/icip.2019.8803290,NOT_REPORTED_BY_SOURCE,10.1109/icip.2019.8803290,NOT_ASSESSED_AT_BROAD_LEVEL
27,PRIMARY,P0313,RG5EF882F20A309CCE,Incorporating Reinforcement Learning for Quality-aware Sample Selection in Deep Architecture Training,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0313.html,HTML,https://doi.org/10.1109/coins54846.2022.9854971,NOT_REPORTED_BY_SOURCE,10.1109/coins54846.2022.9854971,NOT_ASSESSED_AT_BROAD_LEVEL
28,PRIMARY,P0227,RGF2E1BDE120A9ACA9,"Dark Experience for General Continual Learning: a Strong, Simple Baseline",DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0227.html,HTML,https://doi.org/10.48550/arxiv.2004.07211,NOT_REPORTED_BY_SOURCE,10.48550/arxiv.2004.07211,NOT_ASSESSED_AT_BROAD_LEVEL
30,PRIMARY,P0243,RG00AC6968A0B75F77,CAST: Collapse-Aware multi-Scale Topology Fusion for Multimodal Coreset Selection,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,FULL_TEXT_FIELD_IS_LANDING_PAGE,sources/P0243.html,HTML,https://doi.org/10.48550/arxiv.2605.11705,https://doi.org/10.48550/arxiv.2605.11705,10.48550/arxiv.2605.11705,NOT_ASSESSED_AT_BROAD_LEVEL
31,PRIMARY,P0373,RG214DF9F1F3AC754C,Prototype-Enhanced Experience Replay for Domain Incremental Sleep Stage Classification,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0373.html,HTML,https://doi.org/10.1109/tmrb.2026.3699224,NOT_REPORTED_BY_SOURCE,10.1109/tmrb.2026.3699224,NOT_ASSESSED_AT_BROAD_LEVEL
34,PRIMARY,P0237,RGD11DE7A52F573F3B,Influence-driven Curriculum Learning for Pre-training on Limited Data,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,FULL_TEXT_FIELD_IS_LANDING_PAGE,sources/P0237.html,HTML,https://doi.org/10.48550/arxiv.2508.15475,https://doi.org/10.48550/arxiv.2508.15475,10.48550/arxiv.2508.15475,NOT_ASSESSED_AT_BROAD_LEVEL
